from,to
JL,SU
JL,TP
JL,EA
JL,CA
JL,UM
JL,NDL
JL,MTV
MT,RC
MT,VL
MT,VZ
MT,LV
MT,SP
MT,VM
MT,BUL
MT,MTV
ET,TP
ET,AA
ET,EST
ET,LA
ET,NDL
ET,MTV
HK,VU
HK,OS
HK,BS
HK,GER
HK,MTV
IV,AK
IV,IB
IV,CL
IV,RR
IV,CT
IV,RC
IV,BEL
IV,MTV
JN,GB
JN,BB
JN,KS
JN,SM
JN,POL
JN,MTV
SL,KA
SL,B
SL,IVC
SL,PSU
SL,USA
SL,MTV
MS,BV
MS,DS
MS,BSB
MS,ST
MS,DI
MS,GH
MS,CB
MS,ESP
MS,MTV
HJ,VST
HJ,VCS
HJ,NDL
HJ,MTV
HD,AMS
HD,BS
HD,GER
HD,MTV
KR,UA
KR,BZA
KR,LBM
KR,USA
KR,MTV
LB,FVT
LB,BMS
LB,VB
LB,GER
LB,MTV
RK,ONB
RK,LPV
RK,LPK
RK,HL
RK,K
RK,SP
RK,FIN
RK,MTV
LG,EJS
LG,BS
LG,GER
LG,MTV
